"matrix","dependent_character","independent_character"
"Carditidae_Perez_2019.nex",35,34
"Carditidae_Perez_2019.nex",36,34
"Carditidae_Perez_2019.nex",37,34
"Carditidae_Perez_2019.nex",38,34
"Carditidae_Perez_2019.nex",39,34
"Carditidae_Perez_2019.nex",40,34
"Carditidae_Perez_2019.nex",41,34
"Ostreoidea_Huelsenbeck_1994.nex",4,3
"Ostreoidea_Huelsenbeck_1994.nex",14,0
"Ostreoidea_Huelsenbeck_1994.nex",16,0
"Ostreoidea_Huelsenbeck_1994.nex",19,0
"Ostreoidea_Huelsenbeck_1994.nex",28,0
"Ostreoidea_Huelsenbeck_1994.nex",29,0
"Ostreoidea_Huelsenbeck_1994.nex",30,0
"Ostreoidea_Huelsenbeck_1994.nex",31,0
"Ostreoidea_Huelsenbeck_1994.nex",35,0
"Ostreoidea_Huelsenbeck_1994.nex",36,0
"Ostreoidea_Huelsenbeck_1994.nex",37,0
"Pholadidae_Monari_2009.nex",3,0
"Pholadidae_Monari_2009.nex",10,0
"Pholadidae_Monari_2009.nex",13,12
"Pholadidae_Monari_2009.nex",14,0
"Pholadidae_Monari_2009.nex",16,0
"Pholadidae_Monari_2009.nex",21,12
"Pholadidae_Monari_2009.nex",22,0
"Pholadidae_Monari_2009.nex",23,0
"Pholadidae_Monari_2009.nex",24,0
"Pholadidae_Monari_2009.nex",25,24
"Pholadidae_Monari_2009.nex",26,24
"Pholadidae_Monari_2009.nex",27,0
"Pholadidae_Monari_2009.nex",28,0
"Pholadidae_Monari_2009.nex",29,27
"Pholadidae_Monari_2009.nex",30,0
"Pholadidae_Monari_2009.nex",31,0
"Pholadidae_Monari_2009.nex",32,0
"Pholadidae_Monari_2009.nex",33,0
"Pholadidae_Monari_2009.nex",36,1
"Pholadidae_Monari_2009.nex",37,0
"Pholadidae_Monari_2009.nex",38,0
"Pholadidae_Monari_2009.nex",39,0
"Pholadidae_Monari_2009.nex",40,0
"Pholadidae_Monari_2009.nex",41,0
"Pholadidae_Monari_2009.nex",42,0
"Pholadidae_Monari_2009.nex",43,0
"Pholadidae_Monari_2009.nex",44,0
"Pholadidae_Monari_2009.nex",45,0
"Pholadidae_Monari_2009.nex",46,0
"Pitarinae_Alvarez_et_al_2020.nex",11,0
"Pitarinae_Alvarez_et_al_2020.nex",19,0
"Pitarinae_Alvarez_et_al_2020.nex",20,0
"Pitarinae_Alvarez_et_al_2020.nex",21,0
"Pitarinae_Alvarez_et_al_2020.nex",22,0
"Pitarinae_Alvarez_et_al_2020.nex",25,0
"Pitarinae_Alvarez_et_al_2020.nex",27,0
"Pitarinae_Alvarez_et_al_2020.nex",28,0
"Pitarinae_Alvarez_et_al_2020.nex",29,0
"Pitarinae_Alvarez_et_al_2020.nex",30,0
"Pitarinae_Alvarez_et_al_2020.nex",31,0
"Pitarinae_Alvarez_et_al_2020.nex",32,0
"Pitarinae_Alvarez_et_al_2020.nex",33,0
"Pitarinae_Alvarez_et_al_2020.nex",38,0
"Pitarinae_Alvarez_et_al_2020.nex",45,0
"Pitarinae_Alvarez_et_al_2020.nex",47,0
"Pitarinae_Alvarez_et_al_2020.nex",50,0
"Pitarinae_Alvarez_et_al_2020.nex",52,0
"Pitarinae_Alvarez_et_al_2020.nex",54,0
"Pitarinae_Alvarez_et_al_2020.nex",55,0
