"taxon","family","order","color"
"Ambolostoma baileyi","Pentremitidae","Spiraculata","firebrick"
"Angioblastus boliviensis","Codasteridae","Fissiculata","purple2"
"Angioblastus dotti","Codasteridae","Fissiculata","purple2"
"Asterocrinus benniei","Astrocrinidae","Fissiculata","purple2"
"Brachyschisma corrugatum","Brachyschismatidae","Fissiculata","purple2"
"Cheirocystis fultonensis","Cheirocrinidae","Rhombifera","gray50"
"Codaster acutus","Codasteridae","Fissiculata","purple2"
"Cribroblastus cornutus","Granatocrinidae","Granatocrinida","forestgreen"
"Cryptoblastus melo","Granatocrinidae","Granatocrinida","forestgreen"
"Cryptoschisma schulzii","Phaenoschismatidae","Fissiculata","purple2"
"Cupulocorona gemmiformis","Stephanocrinidae","Coronata","orange"
"Decaschisma pulchellus","Phaenoschismatidae","Fissiculata","purple2"
"Decemboblastus melonoides","Granatocrinidae","Granatocrinida","forestgreen"
"Deliablastus cumberlandensis","","Spiraculata","firebrick"
"Deltoblastus batheri","Schizoblastidae","Granatocrinida","forestgreen"
"Deltoblastus permicus","Schizoblastidae","Granatocrinida","forestgreen"
"Devonoblastus whiteavesi","Hyperoblastidae","Pentremitida","deepskyblue4"
"Diploblastus glaber","Troosticrinidae","Troosticrinida","gold"
"Elaeacrinus verneuili","Nucleocrinidae","Spiraculata","firebrick"
"Eleutherocrinus cassadayi","Hyperoblastidae","Pentremitida","deepskyblue4"
"Ellipticoblastus ellipticus","Orbitremitidae","Spiraculata","firebrick"
"Globoblastus norwoodi","Orbitremitidae","Spiraculata","firebrick"
"Granatocrinus granulatus","Granatocrinidae","Granatocrinida","forestgreen"
"Hadroblastus convexus","Phaenoschismatidae","Fissiculata","purple2"
"Heteroschisma alternatus","Phaenoschismatidae","Fissiculata","purple2"
"Hydroblastus herdyi","Schizoblastidae","Granatocrinida","forestgreen"
"Hyperoblastus goldringae","Hyperoblastidae","Pentremitida","deepskyblue4"
"Iranoblastus nodosus","","Spiraculata","firebrick"
"Leptoschisma lorae","Phaenoschismatidae","Fissiculata","purple2"
"Lophoblastus neglectus","Schizoblastidae","Granatocrinida","forestgreen"
"Mesoblastus crenulatus","Granatocrinidae","Granatocrinida","forestgreen"
"Metablastus wortheni","Troosticrinidae","Troosticrinida","gold"
"Monadoblastus granulosus","Granatocrinidae","Granatocrinida","forestgreen"
"Monoschizoblastus rofei","Orbitremitidae","Spiraculata","firebrick"
"Notoblastus brevispinus","Codasteridae","Fissiculata","purple2"
"Nucleocrinus elegans","Nucleocrinidae","Spiraculata","firebrick"
"Orbiblastus hoskyni","Schizoblastidae","Granatocrinida","forestgreen"
"Orophocrinus stelliformis","Orophocrinidae","Fissiculata","purple2"
"Pentremites godoni","Pentremitidae","Spiraculata","firebrick"
"Pentremites pulchellus","Pentremitidae","Spiraculata","firebrick"
"Pentremitidea paillettei","Phaenoschismatidae","Fissiculata","purple2"
"Perittoblastus liratus","","Spiraculata","firebrick"
"Phaenoblastus caryophyllatus","Phaenoschismatidae","Fissiculata","purple2"
"Pinguiblastus tushanensis","Schizoblastidae","Granatocrinida","forestgreen"
"Placoblastus obovatus","Nucleocrinidae","Spiraculata","firebrick"
"Pleuroschisma lycorias","Phaenoschismatidae","Fissiculata","purple2"
"Polydeltoideus enodatus","Phaenoschismatidae","Fissiculata","purple2"
"Poroblastus granulosus","Granatocrinidae","Granatocrinida","forestgreen"
"Pterotoblastus gracilis","Codasteridae","Fissiculata","purple2"
"Sagittoblastus wanneri","Codasteridae","Fissiculata","purple2"
"Schizoblastus sayi","Schizoblastidae","Granatocrinida","forestgreen"
"Sinopetaloblastus jinxingae","","Spiraculata","firebrick"
"Stephanocrinus angulatus","Stephanocrinidae","Coronata","orange"
"Tanaoblastus roemeri","","Spiraculata","firebrick"
"Timoroblastus coronatus constrictus","Codasteridae","Fissiculata","purple2"
"Tricoelocrinus woodmani","Troosticrinidae","Troosticrinida","gold"
"Troosticrinus reinwardti","Troosticrinidae","Troosticrinida","gold"
