"taxon","family","color"
"Amygdalocystites florealis","Amygdalocystitidae","orange"
"Amygdalocystites radiatus","Amygdalocystitidae","orange"
"Bistomiacystis globosa","Bistomiacystitidae","purple2"
"Bistomiacystis schrantzi","Bistomiacystitidae","purple2"
"Canadocystis emmonsi","Platycystitidae","forestgreen"
"Canadocystis tennesseensis","Platycystitidae","forestgreen"
"Columbocystis ovata","Springerocystidae","deepskyblue4"
"Columbocystis typica","Springerocystidae","deepskyblue4"
"Comarocystites punctatus","Comarocystitidae","firebrick"
"Comarocystites tribrachius","Comarocystitidae","firebrick"
"Globulocystites cristatus","Platycystitidae","forestgreen"
"Globulocystites infundus","Platycystitidae","forestgreen"
"Globulocystites rotundatus","Platycystitidae","forestgreen"
"Implicaticystis shumardi","Comarocystitidae","firebrick"
"Implicaticystis symmetricus","Comarocystitidae","firebrick"
"Malocystites murchisoni","Malocystitidae","gold"
"Oklahomacystis bibrachiatus","Amygdalocystitidae","orange"
"Oklahomacystis spissus","Amygdalocystitidae","orange"
"Oklahomacystis tribrachiatus","Amygdalocystitidae","orange"
"Oklahomacystis trigonis","Amygdalocystitidae","orange"
"Platycystites faberi","Platycystitidae","forestgreen"
"Sinclairocystis praedicta","Comarocystitidae","firebrick"
"Wellerocystis kimmswickensis","Malocystitidae","gold"
"Estonocystis antropoffi","Dactylocystidae","gray75"
"Cheirocystis fultonensis","Cheirocrinidae","gray50"
