occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,phylum,phylum_no,class,class_no,order,order_no,family,family_no,genus,genus_no,subgenus_no,occurrence_comments,authorizer,enterer,modifier,abund_value,abund_unit,created,modified,accepted_name_orig
14983,occ,,,1295,Crassatella vadosa,species,59898,,Crassatella (Crassatella) vadosa,species,59898,Maastrichtian,,72.1,66,Jablonski and Raup,1999,40,Mollusca,7805,Bivalvia,16005,Carditida,97212,Crassatellidae,59901,Crassatella (Crassatella),17518,,,D. Jablonski,D. Jablonski,J. Alroy,,,4/8/99 19:02,4/8/99 21:02,Crassatella vadosa
15059,occ,,,1296,Crassatella vadosa,species,59898,,Crassatella (Crassatella) vadosa,species,59898,Maastrichtian,,72.1,66,Jablonski and Raup,1999,40,Mollusca,7805,Bivalvia,16005,Carditida,97212,Crassatellidae,59901,Crassatella (Crassatella),17518,,,D. Jablonski,D. Jablonski,J. Alroy,,,2/17/94 0:00,4/8/99 21:02,Crassatella vadosa
15145,occ,,,1297,Crassatella vadosa,species,59898,,Crassatella (Crassatella) vadosa,species,59898,Maastrichtian,,72.1,66,Jablonski and Raup,1999,40,Mollusca,7805,Bivalvia,16005,Carditida,97212,Crassatellidae,59901,Crassatella (Crassatella),17518,,,D. Jablonski,D. Jablonski,J. Alroy,,,4/8/99 19:02,4/8/99 21:02,Crassatella vadosa
15172,occ,,,1298,Crassatella vadosa,species,59898,,Crassatella (Crassatella) vadosa,species,59898,Maastrichtian,,72.1,66,Jablonski and Raup,1999,40,Mollusca,7805,Bivalvia,16005,Carditida,97212,Crassatellidae,59901,Crassatella (Crassatella),17518,,,D. Jablonski,D. Jablonski,J. Alroy,,,4/8/99 19:02,4/8/99 21:02,Crassatella vadosa
15243,occ,,,1299,Crassatella vadosa,species,59898,,Crassatella (Crassatella) vadosa,species,59898,Maastrichtian,,72.1,66,Jablonski and Raup,1999,40,Mollusca,7805,Bivalvia,16005,Carditida,97212,Crassatellidae,59901,Crassatella (Crassatella),17518,,,D. Jablonski,D. Jablonski,J. Alroy,,,4/8/99 19:02,4/8/99 21:02,Crassatella vadosa
15301,occ,,,1300,Crassatella vadosa,species,59898,,Crassatella (Crassatella) vadosa,species,59898,Maastrichtian,,72.1,66,Jablonski and Raup,1999,40,Mollusca,7805,Bivalvia,16005,Carditida,97212,Crassatellidae,59901,Crassatella (Crassatella),17518,,,D. Jablonski,D. Jablonski,J. Alroy,,,4/8/99 19:02,4/8/99 21:02,Crassatella vadosa
15363,occ,,,1301,Crassatella vadosa,species,59898,,Crassatella (Crassatella) vadosa,species,59898,Maastrichtian,,72.1,66,Jablonski and Raup,1999,40,Mollusca,7805,Bivalvia,16005,Carditida,97212,Crassatellidae,59901,Crassatella (Crassatella),17518,,,D. Jablonski,D. Jablonski,J. Alroy,,,4/8/99 19:02,4/8/99 21:02,Crassatella vadosa
15500,occ,,,1303,Crassatella vadosa,species,59898,,Crassatella (Crassatella) vadosa,species,59898,Maastrichtian,,72.1,66,Jablonski and Raup,1999,40,Mollusca,7805,Bivalvia,16005,Carditida,97212,Crassatellidae,59901,Crassatella (Crassatella),17518,,,D. Jablonski,D. Jablonski,J. Alroy,,,4/8/99 19:02,4/8/99 21:02,Crassatella vadosa
15573,occ,,,1304,Crassatella vadosa,species,59898,,Crassatella (Crassatella) vadosa,species,59898,Maastrichtian,,72.1,66,Jablonski and Raup,1999,40,Mollusca,7805,Bivalvia,16005,Carditida,97212,Crassatellidae,59901,Crassatella (Crassatella),17518,,,D. Jablonski,D. Jablonski,J. Alroy,,,4/8/99 19:02,4/8/99 21:02,Crassatella vadosa
15628,occ,,,1305,Crassatella vadosa,species,59898,,Crassatella (Crassatella) vadosa,species,59898,Maastrichtian,,72.1,66,Jablonski and Raup,1999,40,Mollusca,7805,Bivalvia,16005,Carditida,97212,Crassatellidae,59901,Crassatella (Crassatella),17518,,,D. Jablonski,D. Jablonski,J. Alroy,,,4/8/99 19:02,4/8/99 21:02,Crassatella vadosa
