Role,Species,First Occurrence,Last Occurrence
Ingroup,Crassatella vadosa,Campanian,Maastrichtian
Ingroup,Crassatella carolinensis,Campanian,Campanian
Ingroup,Crassatella hodgei,Campanian,Maastrichtian
Ingroup,Crassatella tumidula,Selandian,Thanetian
Ingroup,Crassatella aquiana,Danian,Ypresian
Ingroup,Spissatella trailli,Priabonian,Langhian
Ingroup,Scambula perplana,Campanian,Maastrichtian
Ingroup,Bathytormus pteropsis,Maastrichtian,Maastrichtian
Ingroup,Bathytormus alaeformis,Danian,Ypresian
Ingroup,Bathytormus protextus,Lutetian,Rupelian
Ingroup,Bathytormus clarkensis,Ypresian,Bartonian
Outgroup,Alleinacin sulcata,Santonian,Maastrichtian
Outgroup,Astarte borealis,Tortonian,Quaternary
Outgroup,Astarte concentrica,Burdigalian,Tortonian
