collection_no,record_type,lng,lat,collection_name,collection_subset,collection_aka,n_occs,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,reference_nos,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,paleolng,paleolat,geoplate,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,time_bins,time_contain,time_major,time_buffer,time_overlap,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments,research_group,primary_reference,authorizer_no,enterer_no,modifier_no,authorizer,enterer,modifier,created,modified,direct_ma,direct_ma_error,direct_ma_method,formation_alt,member_alt,stratgroup_alt,interval_lb,interval_ub,rock_no_sr,formation_no,rock_unit_senior,rock2_no_sr,formation2_no,rock_unit_senior2,ma_lb,ma_ub,zone_species,non_taxon_zone,non_taxon_zone_label
1295,col,-89.866669,37,Jablonski & Raup Locality 3,0,,60,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,US,Missouri,Stoddard,,degrees,local area,Missouri (Stoddard Co) ,gp_mid,-53.58,43.52,101,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,marine indet.,,,paleoecologic,,,some macrofossils,,,,,,"history: old m-3, vetted by DJ in 1991, additions by DJ '92. '94\r\nJA: the Raup and Jablonski data set was uploaded on 1999-04-08 21:02:41 ",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,1/6/93,11/6/06,0,0,,,,,Ma1,Ma1,0,0,,0,0,,72.1,70,,,
1296,col,-95.98333,33.099998,Jablonski & Raup Locality 4,0,,72,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,US,Texas,Hunt,,minutes,local area,Texas (Hunt Co),gp_mid,-61.92,41.89,101,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,"history: old m-4, vetted by DJ in 1991, additions by DJ '92, '94 ",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,2/17/94,8/30/01,0,0,,,,,Ma1,Ma1,0,0,,0,0,,72.1,70,,,
1297,col,-96.716667,31.4,Jablonski & Raup Locality 6,0,,60,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,US,Texas,Falls,,minutes,local area,Texas (Falls Co),gp_mid,-63.52,40.53,101,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,"history: old m-6, vetted by DJ in 1991, additions by DJ '92,'94",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,1/6/93,8/30/01,0,0,,,,,Ma2,Ma2,0,0,,0,0,,70,66,,,
1298,col,-97.533333,30.25,Jablonski & Raup Locality 7,0,,65,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,US,Texas,Travis,,minutes,local area,Texas (Travis Co),gp_mid,-64.91,39.71,101,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,"history: old m-7, vetted by DJ in 1991, additions by DJ '92,'94",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,1/6/93,8/30/01,0,0,,,,,Ma1,Ma1,0,0,,0,0,,72.1,70,,,
1299,col,-97.833336,29.816668,Jablonski & Raup Locality 8,0,,62,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,US,Texas,Caldwell,,minutes,local area,Texas (Caldwell Co),gp_mid,-65.43,39.4,101,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,"history: old m-8, vetted by DJ in 1991, additions by DJ '92, '94 ",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,1/6/93,8/30/01,0,0,,,,,Ma1,Ma1,0,0,,0,0,,72.1,70,,,
1300,col,-99.050003,29.266666,Jablonski & Raup Locality 9,0,,58,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,US,Texas,Medina,,minutes,local area,Texas (Medina Co) (excl E. cancellata Zone),gp_mid,-66.96,39.25,101,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,"history: old m-9, vetted by DJ in 1991, additions by DJ '92, '94 ",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,1/6/93,8/30/01,0,0,,,,,Ma1,Ma1,0,0,,0,0,,72.1,70,,,
1301,col,-100.48333,28.700001,Jablonski & Raup Locality 10,0,,52,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,US,Texas,Maverick,,minutes,local area,Texas (Maverick Co),gp_mid,-68.73,39.15,101,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,"history: old m-10, vetted by DJ in 1991, additions by DJ '92, '94 ",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,1/6/93,8/30/01,0,0,,,,,Ma1,Ma1,0,0,,0,0,,72.1,70,,,
1303,col,-88.933334,34.616669,Jablonski & Raup Locality 12,0,,128,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,US,Mississippi,Tippah,,minutes,local area,Mississippi (Tippah Co),gp_mid,-53.93,41.04,101,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,"history: old m-12, vetted by DJ in 1991, additions by DJ '92 ",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,1/6/93,8/30/01,0,0,,,,,Ma1,Ma1,0,0,,0,0,,72.1,70,,,
1304,col,-88.966667,33.783333,Jablonski & Raup Locality 14,0,,54,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,US,Mississippi,Chickasaw,,minutes,local area,Mississippi (Chickasaw Co) ,gp_mid,-54.4,40.28,101,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,"history: old m-14, vetted by DJ in 1991, additions by DJ '92, '94 ",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,1/6/93,8/30/01,0,0,,,,,Ma1,Ma1,0,0,,0,0,,72.1,70,,,
1305,col,-88.349998,32.733334,Jablonski & Raup Locality 15,0,,76,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,US,Mississippi,Sumter,,minutes,local area,Mississippi (Sumter Co),gp_mid,-54.31,39.11,101,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,"history: old m-15, vetted by DJ in 1991, additions by DJ '92",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,1/6/93,8/30/01,0,0,,,,,Ma1,Ma1,0,0,,0,0,,72.1,70,,,
1306,col,-87.416664,32.133331,Jablonski & Raup Locality 16,0,,66,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,US,Alabama,Wilcox,,minutes,local area,Alabama (Wilcox Co) ,gp_mid,-53.67,38.26,101,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,"history: old m-16, vetted by DJ in 1991, additions by DJ '92, '94 ",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,1/6/93,8/30/01,0,0,,,,,Ma2,Ma2,0,0,,0,0,,70,66,,,
1307,col,-86,31.966667,Jablonski & Raup Locality 17,0,,79,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,US,Alabama,Montgomery,,minutes,local area,Alabama (Montgomery Co),gp_mid,-52.35,37.64,109,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,"history: old m-17, vetted by DJ in 1991, additions by DJ '92",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,1/6/93,8/30/01,0,0,,,,,Ma1,Ma1,0,0,,0,0,,72.1,70,,,
1308,col,-85.216667,31.833332,Jablonski & Raup Locality 18,0,,114,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,US,Alabama,Barbour,,minutes,local area,Alabama (Barbour Co),gp_mid,-51.64,37.26,109,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,"history: old m-18, vetted by DJ in 1991, additions by DJ '92",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,1/6/93,8/30/01,0,0,,,,,Ma1,Ma1,0,0,,0,0,,72.1,70,,,
1309,col,-85.099998,31.716667,Jablonski & Raup Locality 19,0,,113,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,US,Georgia,,,minutes,basin,Georgia ,gp_mid,-51.58,37.12,109,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,"history: old m-19, vetted by DJ in 1991, additions by DJ '92, '94 ",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,1/6/93,8/30/01,0,0,,,,,Ma1,Ma1,0,0,,0,0,,72.1,70,,,
