matrix,dependent_character,independent_character
Anopliidae_Hanger_&_Strong_2000.nex,4,3
Anopliidae_Hanger_&_Strong_2000.nex,9,8
Anopliidae_Hanger_&_Strong_2000.nex,15,14
Anopliidae_Hanger_&_Strong_2000.nex,18,17
Anopliidae_Hanger_&_Strong_2000.nex,25,24
Strophomenida_Congreve_et_al_2015.nex,2,1
Strophomenida_Congreve_et_al_2015.nex,3,0
Strophomenida_Congreve_et_al_2015.nex,5,4
Strophomenida_Congreve_et_al_2015.nex,6,4
Strophomenida_Congreve_et_al_2015.nex,7,4
Strophomenida_Congreve_et_al_2015.nex,8,0
Strophomenida_Congreve_et_al_2015.nex,9,0
Strophomenida_Congreve_et_al_2015.nex,11,10
Strophomenida_Congreve_et_al_2015.nex,13,12
Strophomenida_Congreve_et_al_2015.nex,14,12
Strophomenida_Congreve_et_al_2015.nex,19,18
Strophomenida_Congreve_et_al_2015.nex,20,18
Strophomenida_Congreve_et_al_2015.nex,21,18
Strophomenida_Congreve_et_al_2015.nex,24,23
Strophomenida_Congreve_et_al_2015.nex,25,23
Strophomenida_Congreve_et_al_2015.nex,27,26
Strophomenida_Congreve_et_al_2015.nex,28,26
Strophomenida_Congreve_et_al_2015.nex,30,29
Strophomenida_Congreve_et_al_2015.nex,33,32
Strophomenida_Congreve_et_al_2015.nex,34,32
Strophomenida_Congreve_et_al_2015.nex,36,0
Strophomenida_Congreve_et_al_2015.nex,42,41
Strophomenida_Congreve_et_al_2015.nex,44,43
Strophomenida_Congreve_et_al_2015.nex,51,28
Strophomenida_Congreve_et_al_2015.nex,60,59
Strophomenida_Congreve_et_al_2015.nex,62,61
Strophomenida_Congreve_et_al_2015.nex,63,61
Strophomenida_Congreve_et_al_2015.nex,69,0
Strophomenoidea_Congreve_et_al_2018.nex,10,9
Strophomenoidea_Congreve_et_al_2018.nex,11,9
Strophomenoidea_Congreve_et_al_2018.nex,15,14
Strophomenoidea_Congreve_et_al_2018.nex,16,14
Strophomenoidea_Congreve_et_al_2018.nex,18,17
Strophomenoidea_Congreve_et_al_2018.nex,20,1
Strophomenoidea_Congreve_et_al_2018.nex,27,25
Strophomenoidea_Congreve_et_al_2018.nex,29,25
Strophomenoidea_Congreve_et_al_2018.nex,31,30
Strophomenoidea_Congreve_et_al_2018.nex,37,36
Strophomenoidea_Congreve_et_al_2018.nex,40,39
Strophomenoidea_Congreve_et_al_2018.nex,47,46
Strophomenoidea_Congreve_et_al_2018.nex,55,54
Strophomenoidea_Congreve_et_al_2018.nex,57,56
Strophomenoidea_Congreve_et_al_2018.nex,58,56
Terebratulida_Carlson_&_Fitzgerald_2007.nex,9,0
Terebratulida_Carlson_&_Fitzgerald_2007.nex,10,0
Terebratulida_Carlson_&_Fitzgerald_2007.nex,12,0
Terebratulida_Carlson_&_Fitzgerald_2007.nex,13,0
Terebratulida_Carlson_&_Fitzgerald_2007.nex,14,0
Terebratulida_Carlson_&_Fitzgerald_2007.nex,18,0
Terebratulida_Carlson_&_Fitzgerald_2007.nex,19,0
Terebratulida_Carlson_&_Fitzgerald_2007.nex,23,0
Terebratulida_Carlson_&_Fitzgerald_2007.nex,24,0
Terebratulida_Carlson_&_Fitzgerald_2007.nex,26,25
Terebratulida_Carlson_&_Fitzgerald_2007.nex,28,26
Terebratulida_Carlson_&_Fitzgerald_2007.nex,30,29
Terebratulida_Carlson_&_Fitzgerald_2007.nex,31,29
Terebratulida_Carlson_&_Fitzgerald_2007.nex,38,0
Terebratulida_Carlson_&_Fitzgerald_2007.nex,39,26
Terebratulida_Carlson_&_Fitzgerald_2007.nex,40,26
Terebratulida_Carlson_&_Fitzgerald_2007.nex,41,26
Terebratulida_Carlson_&_Fitzgerald_2007.nex,42,0
Terebratulida_Carlson_&_Fitzgerald_2007.nex,46,36
Terebratulida_Carlson_&_Fitzgerald_2007.nex,47,36
Terebratulida_Carlson_&_Fitzgerald_2007.nex,49,36
Terebratulida_Carlson_&_Fitzgerald_2007.nex,50,36
Terebratulida_Carlson_&_Fitzgerald_2007.nex,51,36
Terebratulida_Carlson_&_Fitzgerald_2007.nex,52,36
Terebratulida_Carlson_&_Fitzgerald_2007.nex,53,0
Terebratulida_Carlson_&_Fitzgerald_2007.nex,54,0
Terebratulida_Carlson_&_Fitzgerald_2007.nex,55,36
Terebratulida_Carlson_&_Fitzgerald_2007.nex,56,0
Terebratulida_Carlson_&_Fitzgerald_2007.nex,57,0
Terebratulida_Carlson_&_Fitzgerald_2007.nex,58,0
Terebratulida_Carlson_&_Fitzgerald_2007.nex,59,36
Terebratulida_Carlson_&_Fitzgerald_2007.nex,60,45
Terebratulida_Carlson_&_Fitzgerald_2007.nex,61,45
Terebratulida_Carlson_&_Fitzgerald_2007.nex,62,45
Terebratulida_Carlson_&_Fitzgerald_2007.nex,63,45
Terebratulida_Carlson_&_Fitzgerald_2007.nex,64,0
Terebratulida_Carlson_&_Fitzgerald_2007.nex,66,45
Terebratulida_Carlson_&_Fitzgerald_2007.nex,67,36
