"matrix","dependent_character"
"Anhangueridae_Holgado_&_Pêgas_2020.nex",31
"Anhangueridae_Holgado_&_Pêgas_2020.nex",32
"Anhangueridae_Holgado_&_Pêgas_2020.nex",37
"Anhangueridae_Holgado_&_Pêgas_2020.nex",38
"Anhangueridae_Holgado_&_Pêgas_2020.nex",39
"Anhangueridae_Holgado_&_Pêgas_2020.nex",40
"Anhangueridae_Holgado_&_Pêgas_2020.nex",41
"Anhangueridae_Holgado_&_Pêgas_2020.nex",42
"Anhangueridae_Holgado_&_Pêgas_2020.nex",44
"Anhangueridae_Holgado_&_Pêgas_2020.nex",45
"Anhangueridae_Holgado_&_Pêgas_2020.nex",46
"Anhangueridae_Holgado_&_Pêgas_2020.nex",50
"Anhangueridae_Holgado_&_Pêgas_2020.nex",52
"Anhangueridae_Holgado_&_Pêgas_2020.nex",53
"Anhangueridae_Holgado_&_Pêgas_2020.nex",54
"Anhangueridae_Holgado_&_Pêgas_2020.nex",67
"Anhangueridae_Holgado_&_Pêgas_2020.nex",68
"Anhangueridae_Holgado_&_Pêgas_2020.nex",69
"Anhangueridae_Holgado_&_Pêgas_2020.nex",70
"Anhangueridae_Holgado_&_Pêgas_2020.nex",81
"Anhangueridae_Holgado_&_Pêgas_2020.nex",83
"Anhangueridae_Holgado_&_Pêgas_2020.nex",84
"Anhangueridae_Holgado_&_Pêgas_2020.nex",86
"Anhangueridae_Holgado_&_Pêgas_2020.nex",94
"Anhangueridae_Holgado_&_Pêgas_2020.nex",95
"Anhangueridae_Holgado_&_Pêgas_2020.nex",96
"Anhangueridae_Holgado_&_Pêgas_2020.nex",101
"Anhangueridae_Holgado_&_Pêgas_2020.nex",102
"Anhangueridae_Holgado_&_Pêgas_2020.nex",106
"Anhangueridae_Holgado_&_Pêgas_2020.nex",107
"Anhangueridae_Holgado_&_Pêgas_2020.nex",108
"Anhangueridae_Holgado_&_Pêgas_2020.nex",109
"Anhangueridae_Holgado_&_Pêgas_2020.nex",110
"Anhangueridae_Holgado_&_Pêgas_2020.nex",112
"Anhangueridae_Holgado_&_Pêgas_2020.nex",113
"Anhangueridae_Holgado_&_Pêgas_2020.nex",115
"Anhangueridae_Holgado_&_Pêgas_2020.nex",116
"Anhangueridae_Holgado_&_Pêgas_2020.nex",124
"Anhangueridae_Holgado_&_Pêgas_2020.nex",125
"Anhangueridae_Holgado_&_Pêgas_2020.nex",126
"Anhangueridae_Holgado_&_Pêgas_2020.nex",127
"Anhangueridae_Holgado_&_Pêgas_2020.nex",128
"Anhangueridae_Holgado_&_Pêgas_2020.nex",129
"Anhangueridae_Holgado_&_Pêgas_2020.nex",130
"Ceratopsidae_Wu_et_al_2007.nex",3
"Ceratopsidae_Wu_et_al_2007.nex",4
"Ceratopsidae_Wu_et_al_2007.nex",14
"Ceratopsidae_Wu_et_al_2007.nex",16
"Ceratopsidae_Wu_et_al_2007.nex",17
"Ceratopsidae_Longrich_2010.nex",6
"Ceratopsidae_Longrich_2010.nex",7
"Ceratopsidae_Longrich_2010.nex",9
"Ceratopsidae_Longrich_2010.nex",10
"Ceratopsidae_Longrich_2010.nex",12
"Ceratopsidae_Longrich_2010.nex",19
"Ceratopsidae_Longrich_2010.nex",24
"Ceratopsidae_Longrich_2010.nex",25
"Ceratopsidae_Longrich_2010.nex",43
"Ceratopsidae_Longrich_2010.nex",44
"Ceratopsidae_Longrich_2010.nex",45
"Ceratopsidae_Longrich_2010.nex",46
"Ceratopsidae_Longrich_2010.nex",47
"Ceratopsidae_Longrich_2010.nex",48
"Ceratopsidae_Longrich_2010.nex",49
"Ceratopsidae_Longrich_2010.nex",50
"Ceratopsidae_Longrich_2010.nex",51
"Ceratopsidae_Longrich_2010.nex",53
"Ceratopsidae_Longrich_2010.nex",55
"Ceratopsidae_Longrich_2010.nex",74
"Ceratopsidae_Longrich_2010.nex",75
"Ceratopsidae_Longrich_2010.nex",76
"Ceratopsidae_Longrich_2010.nex",79
"Ceratopsidae_Longrich_2010.nex",82
"Ceratopsidae_Longrich_2010.nex",84
"Ceratopsidae_Longrich_2010.nex",85
"Ceratopsidae_Longrich_2010.nex",86
"Ceratopsidae_Longrich_2010.nex",91
"Ceratopsidae_Longrich_2010.nex",93
"Ceratopsidae_Longrich_2010.nex",96
"Ceratopsidae_Longrich_2010.nex",114
"Deinonychosauria_Xu_et_al_2002.nex",10
"Deinonychosauria_Xu_et_al_2002.nex",12
"Deinonychosauria_Xu_et_al_2002.nex",24
"Deinonychosauria_Xu_et_al_2002.nex",25
"Deinonychosauria_Xu_et_al_2002.nex",27
"Deinonychosauria_Xu_et_al_2002.nex",28
"Deinonychosauria_Xu_et_al_2002.nex",37
"Deinonychosauria_Xu_et_al_2002.nex",46
"Deinonychosauria_Xu_et_al_2002.nex",63
"Deinonychosauria_Xu_et_al_2002.nex",64
"Deinonychosauria_Xu_et_al_2002.nex",65
"Deinonychosauria_Xu_et_al_2002.nex",66
"Deinonychosauria_Xu_et_al_2002.nex",67
"Deinonychosauria_Xu_et_al_2002.nex",68
"Deinonychosauria_Xu_et_al_2002.nex",69
"Deinonychosauria_Xu_et_al_2002.nex",70
"Deinonychosauria_Xu_et_al_2002.nex",71
"Deinonychosauria_Xu_et_al_2002.nex",72
"Deinonychosauria_Xu_et_al_2002.nex",80
"Deinonychosauria_Xu_et_al_2002.nex",95
"Deinonychosauria_Xu_et_al_2002.nex",108
"Deinonychosauria_Xu_et_al_2002.nex",110
"Deinonychosauria_Xu_et_al_2002.nex",112
"Deinonychosauria_Xu_et_al_2002.nex",120
"Deinonychosauria_Xu_et_al_2002.nex",123
"Deinonychosauria_Xu_et_al_2002.nex",130
"Deinonychosauria_Xu_et_al_2002.nex",131
"Deinonychosauria_Xu_et_al_2002.nex",134
"Deinonychosauria_Xu_et_al_2002.nex",139
"Deinonychosauria_Xu_et_al_2002.nex",144
"Deinonychosauria_Xu_et_al_2002.nex",147
"Deinonychosauria_Xu_et_al_2002.nex",172
"Deinonychosauria_Xu_et_al_2002.nex",176
"Deinonychosauria_Xu_et_al_2002.nex",177
"Deinonychosauria_Xu_et_al_2002.nex",181
"Deinonychosauria_Xu_et_al_2002.nex",186
"Deinonychosauria_Xu_et_al_2002.nex",189
"Deinonychosauria_Xu_et_al_2002.nex",201
"Deinonychosauria_Xu_et_al_2002.nex",203
"Deinonychosauria_Xu_et_al_2002.nex",206
"Deinonychosauria_Xu_et_al_2002.nex",208
"Diplodocoidea_Whitlock_2011.nex",12
"Diplodocoidea_Whitlock_2011.nex",24
"Diplodocoidea_Whitlock_2011.nex",39
"Diplodocoidea_Whitlock_2011.nex",44
"Diplodocoidea_Whitlock_2011.nex",100
"Diplodocoidea_Whitlock_2011.nex",101
"Diplodocoidea_Whitlock_2011.nex",151
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",58
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",60
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",63
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",64
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",68
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",69
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",70
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",73
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",74
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",77
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",78
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",79
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",82
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",99
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",120
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",141
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",148
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",167
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",168
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",169
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",171
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",172
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",176
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",177
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",178
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",180
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",181
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",182
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",183
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",184
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",185
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",186
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",214
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",226
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",268
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",269
"Hadrosauridae_Prieto-Márquez_et_al_2020.nex",270
"Hadrosauroidea_Sues_&_Averianov_2009.nex",111
"Heterodontosauridae_Butler_et_al_2009.nex",4
"Heterodontosauridae_Butler_et_al_2009.nex",5
"Heterodontosauridae_Butler_et_al_2009.nex",14
"Heterodontosauridae_Butler_et_al_2009.nex",15
"Heterodontosauridae_Butler_et_al_2009.nex",22
"Heterodontosauridae_Butler_et_al_2009.nex",23
"Heterodontosauridae_Butler_et_al_2009.nex",30
"Heterodontosauridae_Butler_et_al_2009.nex",31
"Heterodontosauridae_Butler_et_al_2009.nex",32
"Heterodontosauridae_Butler_et_al_2009.nex",33
"Heterodontosauridae_Butler_et_al_2009.nex",34
"Heterodontosauridae_Butler_et_al_2009.nex",37
"Heterodontosauridae_Butler_et_al_2009.nex",46
"Heterodontosauridae_Butler_et_al_2009.nex",50
"Heterodontosauridae_Butler_et_al_2009.nex",61
"Heterodontosauridae_Butler_et_al_2009.nex",66
"Heterodontosauridae_Butler_et_al_2009.nex",69
"Heterodontosauridae_Butler_et_al_2009.nex",70
"Heterodontosauridae_Butler_et_al_2009.nex",86
"Heterodontosauridae_Butler_et_al_2009.nex",91
"Heterodontosauridae_Butler_et_al_2009.nex",92
"Heterodontosauridae_Butler_et_al_2009.nex",93
"Heterodontosauridae_Butler_et_al_2009.nex",94
"Heterodontosauridae_Butler_et_al_2009.nex",95
"Heterodontosauridae_Butler_et_al_2009.nex",96
"Heterodontosauridae_Butler_et_al_2009.nex",112
"Heterodontosauridae_Butler_et_al_2009.nex",113
"Heterodontosauridae_Butler_et_al_2009.nex",114
"Heterodontosauridae_Butler_et_al_2009.nex",116
"Heterodontosauridae_Butler_et_al_2009.nex",119
"Heterodontosauridae_Butler_et_al_2009.nex",122
"Heterodontosauridae_Butler_et_al_2009.nex",132
"Heterodontosauridae_Butler_et_al_2009.nex",172
"Heterodontosauridae_Butler_et_al_2009.nex",173
"Heterodontosauridae_Butler_et_al_2009.nex",189
"Heterodontosauridae_Butler_et_al_2009.nex",193
"Heterodontosauridae_Butler_et_al_2009.nex",194
"Heterodontosauridae_Butler_et_al_2009.nex",195
"Heterodontosauridae_Butler_et_al_2009.nex",199
"Heterodontosauridae_Butler_et_al_2009.nex",200
"Heterodontosauridae_Butler_et_al_2009.nex",209
"Heterodontosauridae_Butler_et_al_2009.nex",218
"Heterodontosauridae_Butler_et_al_2009.nex",224
"Megalosauridae_Allain_2002.nex",24
"Neoceratopsia_Mackovicky_&_Norell_2006.nex",30
"Neoceratopsia_Mackovicky_&_Norell_2006.nex",53
