"matrix","dependent_character","independent_character"
"Bucaniidae_Wagner_2001.nex",2,1
"Bucaniidae_Wagner_2001.nex",3,1
"Bucaniidae_Wagner_2001.nex",4,1
"Bucaniidae_Wagner_2001.nex",9,8
"Bucaniidae_Wagner_2001.nex",10,8
"Bucaniidae_Wagner_2001.nex",11,8
"Bucaniidae_Wagner_2001.nex",16,15
"Bucaniidae_Wagner_2001.nex",17,15
"Bucaniidae_Wagner_2001.nex",19,15
"Bucaniidae_Wagner_2001.nex",20,15
"Bucaniidae_Wagner_2001.nex",21,0
"Bucaniidae_Wagner_2001.nex",23,22
"Bucaniidae_Wagner_2001.nex",25,24
"Bucaniidae_Wagner_2001.nex",26,24
"Bucaniidae_Wagner_2001.nex",27,3
"Bucaniidae_Wagner_2001.nex",28,3
"Bucaniidae_Wagner_2001.nex",31,0
"Bucaniidae_Wagner_2001.nex",33,0
"Bucaniidae_Wagner_2001.nex",39,33
"Bucaniidae_Wagner_2001.nex",40,33
"Bucaniidae_Wagner_2001.nex",42,41
"Bucaniidae_Wagner_2001.nex",43,41
"Bucaniidae_Wagner_2001.nex",44,41
"Bucaniidae_Wagner_2001.nex",45,41
"Bucaniidae_Wagner_2001.nex",47,0
"Bucaniidae_Wagner_2001.nex",49,0
"Bucaniidae_Wagner_2001.nex",57,25
"Bucaniidae_Wagner_2001.nex",58,40
"Bucaniidae_Wagner_2001.nex",60,33
"Bucaniidae_Wagner_2001.nex",61,33
"Bucaniidae_Wagner_2001.nex",63,0
"Bucaniidae_Wagner_2001.nex",64,0
"Bucaniidae_Wagner_2001.nex",65,0
"Bucaniidae_Wagner_2001.nex",68,0
"Bucaniidae_Wagner_2001.nex",70,0
"Bucaniidae_Wagner_2001.nex",78,33
"Bucaniidae_Wagner_2001.nex",79,33
"Bucaniidae_Wagner_2001.nex",80,33
"Bucaniidae_Wagner_2001.nex",81,33
"Bucaniidae_Wagner_2001.nex",82,33
"Bucaniidae_Wagner_2001.nex",83,33
"Bucaniidae_Wagner_2001.nex",84,33
