"0--"	"100"	"101"	"102"	"110"	"111"	"112"	"12-"	"200"	"201"	"202"	"210"	"211"	"212"	"22-"
"0--"	-1	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714
"100"	1	-6	1	1	1	0	0	1	1	0	0	0	0	0	0
"101"	1	1	-6	1	0	1	0	1	0	1	0	0	0	0	0
"102"	1	1	1	-6	0	0	1	1	0	0	1	0	0	0	0
"110"	1	1	0	0	-6	1	1	1	0	0	0	1	0	0	0
"111"	1	0	1	0	1	-6	1	1	0	0	0	0	1	0	0
"112"	1	0	0	1	1	1	-6	1	0	0	0	0	0	1	0
"12-"	1	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	-3	0	0	0	0	0	0	1
"200"	1	1	0	0	0	0	0	0	-6	1	1	1	0	0	1
"201"	1	0	1	0	0	0	0	0	1	-6	1	0	1	0	1
"202"	1	0	0	1	0	0	0	0	1	1	-6	0	0	1	1
"210"	1	0	0	0	1	0	0	0	1	0	0	-6	1	1	1
"211"	1	0	0	0	0	1	0	0	0	1	0	1	-6	1	1
"212"	1	0	0	0	0	0	1	0	0	0	1	1	1	-6	1
"22-"	1	0	0	0	0	0	0	1	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	-3
