matrix,dependent_character,independent_character
Agnostida_Moysiuk_&_Caron_2019.nex,3,2
Agnostida_Moysiuk_&_Caron_2019.nex,5,0
Agnostida_Moysiuk_&_Caron_2019.nex,6,1
Agnostida_Moysiuk_&_Caron_2019.nex,7,1
Agnostida_Moysiuk_&_Caron_2019.nex,8,0
Agnostida_Moysiuk_&_Caron_2019.nex,9,1
Agnostida_Moysiuk_&_Caron_2019.nex,10,0
Agnostida_Moysiuk_&_Caron_2019.nex,11,0
Agnostida_Moysiuk_&_Caron_2019.nex,12,11
Agnostida_Moysiuk_&_Caron_2019.nex,13,8
Agnostida_Moysiuk_&_Caron_2019.nex,14,0
Agnostida_Moysiuk_&_Caron_2019.nex,15,0
Agnostida_Moysiuk_&_Caron_2019.nex,16,0
Agnostida_Moysiuk_&_Caron_2019.nex,17,0
Agnostida_Moysiuk_&_Caron_2019.nex,18,0
Agnostida_Moysiuk_&_Caron_2019.nex,19,0
Agnostida_Moysiuk_&_Caron_2019.nex,21,20
Agnostida_Moysiuk_&_Caron_2019.nex,22,0
Agnostida_Moysiuk_&_Caron_2019.nex,23,0
Agnostida_Moysiuk_&_Caron_2019.nex,24,0
Agnostida_Moysiuk_&_Caron_2019.nex,25,0
Agnostida_Moysiuk_&_Caron_2019.nex,26,0
Agnostida_Moysiuk_&_Caron_2019.nex,27,0
Agnostida_Moysiuk_&_Caron_2019.nex,28,0
Agnostida_Moysiuk_&_Caron_2019.nex,29,28
Agnostida_Moysiuk_&_Caron_2019.nex,31,0
Agnostida_Moysiuk_&_Caron_2019.nex,33,32
Agnostida_Moysiuk_&_Caron_2019.nex,35,30
Agnostida_Moysiuk_&_Caron_2019.nex,36,35
Agnostida_Moysiuk_&_Caron_2019.nex,37,36
Agnostida_Moysiuk_&_Caron_2019.nex,38,37
Agnostida_Moysiuk_&_Caron_2019.nex,39,37
Agnostida_Moysiuk_&_Caron_2019.nex,40,0
Agnostida_Moysiuk_&_Caron_2019.nex,41,0
Agnostida_Moysiuk_&_Caron_2019.nex,42,0
Agnostida_Moysiuk_&_Caron_2019.nex,43,0
Agnostida_Moysiuk_&_Caron_2019.nex,44,0
Agnostida_Moysiuk_&_Caron_2019.nex,45,0
Agnostida_Moysiuk_&_Caron_2019.nex,46,30
Agnostida_Moysiuk_&_Caron_2019.nex,47,30
Agnostida_Moysiuk_&_Caron_2019.nex,48,1
Agnostida_Moysiuk_&_Caron_2019.nex,49,1
Agnostida_Moysiuk_&_Caron_2019.nex,50,1
Agnostida_Moysiuk_&_Caron_2019.nex,51,1
Agnostida_Moysiuk_&_Caron_2019.nex,52,1
Agnostida_Moysiuk_&_Caron_2019.nex,53,1
Agnostida_Moysiuk_&_Caron_2019.nex,54,1
Agnostida_Moysiuk_&_Caron_2019.nex,55,0
Agnostida_Moysiuk_&_Caron_2019.nex,56,30
Agnostida_Moysiuk_&_Caron_2019.nex,57,30
Agnostida_Moysiuk_&_Caron_2019.nex,58,3
Agnostida_Moysiuk_&_Caron_2019.nex,59,51
Agnostida_Moysiuk_&_Caron_2019.nex,60,51
Agnostida_Moysiuk_&_Caron_2019.nex,61,0
Agnostida_Moysiuk_&_Caron_2019.nex,62,61
Agnostida_Moysiuk_&_Caron_2019.nex,63,61
Agnostida_Moysiuk_&_Caron_2019.nex,64,3
Agnostida_Moysiuk_&_Caron_2019.nex,65,3
Agnostida_Moysiuk_&_Caron_2019.nex,66,3
Agnostida_Moysiuk_&_Caron_2019.nex,67,3
Agnostida_Moysiuk_&_Caron_2019.nex,68,0
Agnostida_Moysiuk_&_Caron_2019.nex,69,0
